District,Representative,Prior experience,Education,Assumed office,Residence,Born,Female,Black,Hispanic,Asian,Age
California 23,Kevin McCarthy,"Current Majority Leader
California State Assembly","California State University, Bakersfield (BS, MBA)",2007,Bakersfield,1965,0,0,0,0,53
California 24,Salud Carbajal,"Santa Barbara County, California Board of Supervisors","University of California, Santa Barbara (BA)
Fielding Graduate University (MA)",2017,Santa Barbara,1964,0,0,1,0,54
California 25,Steve Knight,"California State Senate
California State Assembly
Palmdale City Council",Antelope Valley College,2015,Palmdale,1966,0,0,0,0,52
California 26,Julia Brownley,California State Assembly,"George Washington University (BA)
American University (MBA)",2013,Oak Park,1952,1,0,0,0,66
California 27,Judy Chu,"Mayor of Monterey Park
Monterey Park City Council
California State Assembly
California State Board of Equalization","University of California, Los Angeles (BA)
Alliant International University (MA, PhD)",2009,Monterey Park,1953,1,0,0,1,65
California 28,Adam Schiff,"California State Senate
Assistant Prosecutor for the
United States Attorney for the Southern District of California","Stanford University (BA)
Harvard University (JD)",2001,Burbank,1960,0,0,0,0,58
California 29,Tony Cárdenas,Los Angeles City Council,"University of California, Santa Barbara (BS)",2013,San Fernando Valley,1963,0,0,1,0,55
California 30,Brad Sherman,California Board of Equalization,"University of California, Los Angeles (BA)
Harvard University (JD)",1997,Sherman Oaks,1954,0,0,0,0,64
California 31,Pete Aguilar,Mayor of Redlands,University of Redlands (BS),2015,Fontana,1979,0,0,1,0,39
California 32,Grace Napolitano,California State Assembly,"Cerritos College
Texas Southmost College",1999,Norwalk,1936,1,0,1,0,82
California 33,Ted Lieu,"California State Senate
California State Assembly","Stanford University (BA, BS)
Georgetown University (JD)",2015,Torrance,1969,0,0,0,1,49
California 34,Jimmy Gomez,California State Assembly,"University of California, Los Angeles (BA)
Harvard University (MPP)",2017,Los Angeles,1974,0,0,1,0,44
California 35,Norma Torres,"California State Senate
California State Assembly
Mayor of Pomona",National Labor College (BA),2015,Pomona,1965,1,0,1,0,53
California 36,Raul Ruiz,Emergency physician,"University of California, Los Angeles (BS)
Harvard University (MD, MPP, MPH)",2013,Palm Desert,1972,0,0,1,0,46
California 37,Karen Bass,Speaker of the California State Assembly,"San Diego State University
California State University, Dominguez Hills (BS)",2011,Baldwin Hills,1953,1,1,0,0,65
California 38,Linda Sánchez,Attorney,"University of California, Berkeley (BA)
University of California, Los Angeles (JD)",2003,Orange,1969,1,0,1,0,49
California 39,Ed Royce,California State Senate,"California State University, Fullerton (BS)",1993,Fullerton,1951,0,0,0,0,67
California 40,Lucille Roybal-Allard,public relations executive,"California State University, Los Angeles (BA)",1993,Downey,1941,1,0,1,0,77
California 41,Mark Takano,Teacher,"Harvard University (BA)
University of California, Riverside (MFA)",2013,Riverside,1960,0,0,0,1,58
California 42,Ken Calvert,Real Estate Executive,"Chaffey College
San Diego State University (BA)",1993,Corona,1953,0,0,0,0,65
California 43,Maxine Waters,California State Assembly,"California State University, Los Angeles (BA)",1991,Inglewood,1938,1,1,0,0,80
California 44,Nanette Barragán,Hermosa Beach City Council,"University of California, Los Angeles (BA)
University of Southern California (JD)",2017,San Pedro,1976,0,0,1,0,42
California 45,Mimi Walters,"California State Senate
California State Assembly
Mayor of Laguna Niguel","University of California, Los Angeles (BA)",2015,Laguna Niguel,1962,1,0,0,0,56
California 46,Lou Correa,"California State Senate
Orange County Board of Supervisors
California State Assembly","California State University, Fullerton (BA)
University of California, Los Angeles (JD, MBA)",2017,Santa Ana,1958,0,0,1,0,60
California 47,Alan Lowenthal,"California State Senate
California State Assembly","Hobart College (BA)
Ohio State University (MA, PhD)",2013,Long Beach,1941,0,0,0,0,77
California 48,Dana Rohrabacher,Special assistant to President Reagan,"Los Angeles Harbor College
California State University, Long Beach (BA)
University of Southern California (MA)",1989,Costa Mesa,1947,0,0,0,0,71
California 49,Darrell Issa,Electronics executive,"Kent State University at Stark
Siena Heights University (BA)",2001,Vista,1953,0,0,0,0,65
California 50,Duncan D. Hunter,"Military officer, businessman",San Diego State University (BS),2009,Lakeside,1976,0,0,0,0,42
California 51,Juan Vargas,"California State Senate
California State Assembly
San Diego City Council","University of San Diego (BA)
Fordham University (MA)
Harvard University (JD)",2013,Golden Hill,1961,0,0,1,0,57
California 52,Scott Peters,"San Diego City Council
San Diego Port Commission","Duke University (BA)
New York University (JD)",2013,La Jolla,1958,0,0,0,0,60
California 53,Susan Davis,"California State Assembly
San Diego School Board","University of California, Berkeley (BA)
University of North Carolina at Chapel Hill (MSW)",2001,San Diego,1944,1,0,0,0,74
Colorado 1,Diana DeGette,Colorado House of Representatives,"Colorado College (BA)
New York University (JD)",1997,Denver,1957,1,0,0,0,61
Colorado 2,Jared Polis,"Colorado State Board of Education
Internet Executive",Princeton University (BA),2009,Boulder,1975,0,0,0,0,43
Colorado 3,Scott Tipton,Colorado House of Representatives,Fort Lewis College (BA),2011,Cortez,1956,0,0,0,0,62
Colorado 4,Ken Buck,"Weld County District Attorney
Prosecutor U.S. Attorney's Office","Princeton University (BA)
University of Wyoming (JD)",2015,Greeley,1959,0,0,0,0,59
Colorado 5,Doug Lamborn,"President pro tempore of the Colorado Senate
Colorado House of Representatives","University of Kansas (BS, JD)",2007,Colorado Springs,1954,0,0,0,0,64
Colorado 6,Mike Coffman,"Secretary of State of Colorado
Colorado State Treasurer
Colorado Senate
Colorado House of Representatives",University of Colorado Boulder (BA),2009,Aurora,1955,0,0,0,0,63
Colorado 7,Ed Perlmutter,Colorado Senate,"University of Colorado Boulder (BA, JD)",2007,Lakewood,1953,0,0,0,0,65
Connecticut 1,John B. Larson,"Connecticut Senate
East Hartford, Connecticut City Council
East Hartford, Connecticut Board of Education",Central Connecticut State University (BA),1999,East Hartford,1948,0,0,0,0,70
Connecticut 2,Joe Courtney,Connecticut House of Representatives,"Tufts University (BA)
University of Connecticut (JD)",2007,Vernon,1953,0,0,0,0,65
Connecticut 3,Rosa DeLauro,"Executive Director of EMILY's List
Political aide","Fordham University (BA)
London School of Economics
(MA)
Columbia University (MA)",1991,New Haven,1943,1,0,0,0,75
Connecticut 4,Jim Himes,"Financial executive
Greenwich Housing Authority Board","Harvard University (BA)
St Edmund Hall, Oxford (MPhil)",2009,Cos Cob,1966,0,0,0,0,52
Connecticut 5,Elizabeth Esty,Connecticut House of Representatives,"Harvard University (BA)
Yale University (JD)",2013,Cheshire,1959,1,0,0,0,59
Delaware at large,Lisa Blunt Rochester,"Delaware Labor Secretary, Delaware Personnel Director","Fairleigh Dickinson University
(BA)
University of Delaware (MA)",2017,Wilmington,1962,1,1,0,0,56
Florida 1,Matt Gaetz,Florida House of Representatives,"Florida State University (BS)
College of William & Mary (JD)",2017,Fort Walton Beach,1982,0,0,0,0,36
Florida 2,Neal Dunn,Surgeon,"Washington and Lee University (BS)
George Washington University (MD)",2017,Panama City,1953,0,0,0,0,65
Florida 3,Ted Yoho,Veterinarian,"Broward College
University of Florida (BS, DVM)",2013,Gainesville,1955,0,0,0,0,63
Florida 4,John Rutherford,Sheriff of Jacksonville,"Florida State College
Florida State University (BS)",2017,Jacksonville,1952,0,0,0,0,66
Florida 5,Al Lawson,Florida Senate,"Florida A&M University (BA)
Florida State University (MPA)",2017,Tallahassee,1948,0,1,0,0,70
Florida 6,,,,,,,,,,,2018
Florida 7,Stephanie Murphy,"Advisor, educator","College of William & Mary (BA)
Georgetown University (MS)",2017,Winter Park,1978,1,0,0,1,40
Florida 8,Bill Posey,"Florida Senate
Florida House of Representatives
Rockledge, Florida City Council",Eastern Florida State College,2009,Rockledge,1947,0,0,0,0,71
Florida 9,Darren Soto,"Florida Senate
Florida House of Representatives","Rutgers University–New Brunswick (BA)
George Washington University (JD)",2017,Orlando,1978,0,0,0,0,40
Florida 10,Val Demings,Chief of the Orlando Police Department,Florida State University (BS),2017,Orlando,1957,1,1,0,0,61
Florida 11,Daniel Webster,"Florida Senate
Speaker of Florida House of Representatives",Georgia Institute of Technology (BS),2011,Winter Garden,1949,0,0,0,0,69
Florida 12,Gus Bilirakis,Florida House of Representatives,"St. Petersburg College
University of Florida (BA)
Stetson University (JD)",2007,Palm Harbor,1963,0,0,0,0,55
Florida 13,Charlie Crist,"Governor of Florida
Attorney General of Florida
Education Commissioner of Florida
Florida Senate","Wake Forest University
Florida State University (BA)
Samford University (JD)",2017,St. Petersburg,1956,0,0,0,0,62
Florida 14,Kathy Castor,"Assistant General Counsel to the Florida Department of Community Affairs
President of the Florida Association of Women Lawyers
Hillsborough County, Florida Board of Commissioners","Emory University (BA)
Florida State University (JD)",2007,Tampa,1966,1,0,0,0,52
Florida 15,Dennis Ross,Florida House of Representatives,"University of Florida
Auburn University (BA)
Samford University (JD)",2011,Lakeland,1959,0,0,0,0,59
Florida 16,Vern Buchanan,Auto Dealer,"Cleary University (BA)
University of Detroit Mercy (MBA)",2007,Longboat Key,1951,0,0,0,0,67
Florida 17,Tom Rooney,"Criminal Prosecutor Florida Department of Justice
Attorney","Syracuse University
Washington & Jefferson College (BA)
University of Florida (MA)
University of Miami (JD)",2009,Okeechobee,1970,0,0,0,0,48
Florida 18,Brian Mast,U.S. Army Soldier,"Palm Beach Atlantic University
American Military University
Harvard University (BLA)",2017,Hutchinson Island,1980,0,0,0,0,38
Florida 19,Francis Rooney,United States Ambassador to the Holy See,"Georgetown University (BA, JD)",2017,Naples,1953,0,0,0,0,65
Florida 20,Alcee Hastings,Judge of the United States District Court for the Southern District of Florida,"Howard University
Fisk University (BA)
Florida A&M University (JD)",1993,Miramar,1936,0,1,0,0,82
Florida 21,Lois Frankel,"Mayor of West Palm Beach
Florida House of Representatives","Boston University (BA)
Georgetown University (JD)",2013,West Palm Beach,1948,1,0,0,0,70
Florida 22,Ted Deutch,Florida Senate,"University of Michigan (BA, JD)",2010,Boca Raton,1966,0,0,0,0,52
Florida 23,Debbie Wasserman Schultz,"Florida Senate
Florida House of Representatives
Democratic National Committee Chair","University of Florida (BA, MA)",2005,Weston,1966,1,0,0,0,52
Florida 24,Frederica Wilson,"Florida Senate
Florida House of Representatives
Miami-Dade County Public Schools Board","Fisk University (BA)
University of Miami (MA)",2011,Miami Gardens,1942,1,1,0,0,76
Florida 25,Mario Díaz-Balart,"Florida Senate, Florida House of Representatives",University of South Florida (BA),2003,Miami,1961,0,0,1,0,57
Florida 26,Carlos Curbelo,"Public administrator, Miami-Dade County Public Schools Board","University of Miami (BA, MPA)",2015,Kendall,1980,0,0,1,0,38
Florida 27,Ileana Ros-Lehtinen,"Florida Senate
Florida House of Representatives","Miami Dade College
Florida International University (BA, MA)
University of Miami (EdD)",1989,Miami,1952,1,0,1,0,66
Georgia 1,Buddy Carter,"Georgia State Senate
Georgia House of Representatives
Mayor of Pooler","Young Harris College
University of Georgia (BS)",2015,Pooler,1957,0,0,0,0,61
Georgia 2,Sanford Bishop,"Georgia State Senate
Georgia House of Representatives","Morehouse College (BA)
Emory University (JD)",1993,Albany,1947,0,1,0,0,71
Georgia 3,Drew Ferguson,"Mayor of West Point, Georgia","University of Georgia (BS)
Augusta University (DMD)",2017,West Point,1966,0,0,0,0,52
Georgia 4,Hank Johnson,"DeKalb County, Georgia Commissioner
Associate Magistrate Judge","Clark Atlanta University (BA)
Texas Southern University (JD)",2007,Lithonia,1954,0,1,0,0,64
Georgia 5,John Lewis,"Atlanta City Council
Student Nonviolent Coordinating Committee Chair","American Baptist College (BA)
Fisk University (BA)",1987,Atlanta,1940,0,1,0,0,78
Georgia 6,Karen Handel,"businesswoman
non-profit executive
Secretary of State of Georgia","Prince George's Community College
University of Maryland University College",2017,Roswell,1962,1,0,0,0,56
Georgia 7,Rob Woodall,"Political aide
Attorney","Furman University (BA)
University of Georgia (JD)",2011,Peachtree Corners,1970,0,0,0,0,48
Georgia 8,Austin Scott,Georgia House of Representatives,University of Georgia (BA),2011,Tifton,1969,0,0,0,0,49
Georgia 9,Doug Collins,Georgia House of Representatives,"University of North Georgia (BA)
New Orleans Baptist Theological Seminary (MDiv)
Atlanta's John Marshall Law School (JD)",2013,Gainesville,1966,0,0,0,0,52
Georgia 10,Jody Hice,"Radio show host
Southern Baptist pastor","Asbury University (BA)
Southwestern Baptist Theological Seminary (MDiv)
Luther Rice College and Seminary (DMin)",2015,Bethlehem,1960,0,0,0,0,58
Georgia 11,Barry Loudermilk,"Georgia State Senate
Georgia House of Representatives","Air University
Wayland Baptist University (BS)",2015,Cassville,1963,0,0,0,0,55
Georgia 12,Rick W. Allen,Businessman,Auburn University (BS),2015,Augusta,1951,0,0,0,0,67
Georgia 13,David Scott,"Georgia State Senate
Georgia House of Representatives","Florida A&M University (BA)
University of Pennsylvania (MBA)",2003,Atlanta,1945,0,1,0,0,73
Georgia 14,Tom Graves,"Georgia House of Representatives,",University of Georgia (BA),2010,Ranger,1970,0,0,0,0,48
Hawaii 1,Colleen Hanabusa,Hawaii Senate,"University of Hawaii at Manoa (BA, MA, JD)",2016,Honolulu,1951,1,0,0,1,67
Hawaii 2,Tulsi Gabbard,"Honolulu City Council
Hawaii House of Representatives",Hawaii Pacific University (BS),2013,"West Oahu, Honolulu",1981,1,0,0,1,37
Idaho 1,Raúl Labrador,Idaho House of Representatives,"Brigham Young University (BA)
University of Washington (JD)",2011,Eagle,1967,0,0,1,0,51
Idaho 2,Mike Simpson,"Speaker of the Idaho House of Representatives
Blackfoot, Idaho City Council","Utah State University (BS)
Washington University in St. Louis (DMD)",1999,Idaho Falls,1950,0,0,0,0,68
Illinois 1,Bobby Rush,Chicago City Council,"Roosevelt University (BGS)
University of Illinois at Chicago (MA)
McCormick Theological Seminary (MA)",1993,Englewood,1946,0,1,0,0,72
Illinois 2,Robin Kelly,"Illinois House of Representatives
Chief of Staff to the Illinois Treasurer
Chief Administrative Officer to the Cook County President","Bradley University (BA, MA)
Northern Illinois University (PhD)",2013,Matteson,1956,1,1,0,0,62
Illinois 3,Dan Lipinski,Member of the University of Notre Dame and University of Tennessee Faculty,"Northwestern University (BS)
Stanford University (MS)
Duke University (PhD)",2005,Western Springs,1966,0,0,0,0,52
Illinois 4,Luis Gutiérrez,Chicago City Council,Northeastern Illinois University (BA),1993,Lincoln Park,1953,0,0,1,0,65
Illinois 5,Mike Quigley,Cook County Board of Commissioners,"Roosevelt University (BA)
University of Chicago (MPP)
Loyola University Chicago (JD)",2009,Lincoln Park,1958,0,0,0,0,60
Illinois 6,Peter Roskam,"Illinois Senate
Illinois House of Representatives","University of Illinois at Urbana–Champaign (BA)
Illinois Institute of Technology (JD)",2007,Arlington Heights,1961,0,0,0,0,57
Illinois 7,Danny K. Davis,"Chicago City Council
Cook County Board of Commissioners","University of Arkansas at Pine Bluff (BA)
Chicago State University (MS)
Union Institute & University (PhD)",1997,Austin,1941,0,1,0,0,77
Illinois 8,Raja Krishnamoorthi,"Public Servant
Lawyer","Princeton University (BS)
Harvard University (JD)",2017,Schaumburg,1973,0,0,0,1,45
Illinois 9,Jan Schakowsky,Illinois House of Representatives,University of Illinois at Urbana–Champaign (BS),1999,Evanston,1944,1,0,0,0,74
Illinois 10,Brad Schneider,U.S. House,"Northwestern University (BS, MBA)",2017,Deerfield,1961,0,0,0,0,57
Illinois 11,Bill Foster,U.S. House,"University of Wisconsin–Madison (BS)
Harvard University (MS, PhD)",2013,Naperville,1955,0,0,0,0,63
Illinois 12,Mike Bost,Illinois House of Representatives,–,2015,Murphysboro,1960,0,0,0,0,58
Illinois 13,Rodney Davis,Congressional Staffer,Millikin University (BA),2013,Taylorville,1970,0,0,0,0,48
Illinois 14,Randy Hultgren,"Illinois Senate
Illinois House of Representatives
DuPage County, Illinois Board of Commissioners","Bethel University, Minnesota (BA)
Illinois Institute of Technology (JD)",2011,Plano,1966,0,0,0,0,52
Illinois 15,John Shimkus,"Madison County, Illinois Treasurer","United States Military Academy (BS)
Southern Illinois University Edwardsville (MBA)",1997,Collinsville,1958,0,0,0,0,60
Illinois 16,Adam Kinzinger,"McLean County, Illinois Board of Commissioners",Illinois State University (BA),2011,Rockford,1978,0,0,0,0,40
Illinois 17,Cheri Bustos,East Moline City Council,"University of Maryland, College Park (BA)
University of Illinois, Springfield (MA)",2013,East Moline,1961,1,0,0,0,57
Illinois 18,Darin LaHood,"Illinois Senate
Prosecutor U.S. Attorney's Office
Deputy Prosecutor Tazewell County, Illinois","Loras College (BA)
John Marshall Law School, Chicago (JD)",2015,Dunlap,1968,0,0,0,0,50
Indiana 1,Pete Visclosky,"Attorney
Congressional aide","Indiana University Northwest (BA)
University of Notre Dame (JD)
Georgetown University (LLM)",1985,Merrillville,1949,0,0,0,0,69
Indiana 2,Jackie Walorski,Indiana House of Representatives,"Liberty University
Taylor University (BA)",2013,Jimtown,1963,1,0,0,0,55
Indiana 3,Jim Banks,Indiana Senate,"Indiana University Bloomington (BA)
Grace College & Seminary (MBA)",2017,Columbia City,1979,0,0,0,0,39
Indiana 4,Todd Rokita,Indiana Secretary of State,"Wabash College (BA)
Indiana University, Indianapolis (JD)",2011,Brownsburg,1970,0,0,0,0,48
Indiana 5,Susan Brooks,"U.S. Attorney for Southern Indiana
Deputy Mayor of Indianapolis","Miami University (BA)
Indiana University, Indianapolis (JD)",2013,Carmel,1960,1,0,0,0,58
Indiana 6,Luke Messer,Indiana House of Representatives,"Wabash College (BA)
Vanderbilt University (JD)",2013,Shelbyville,1969,0,0,0,0,49
Indiana 7,André Carson,Indianapolis City-County Council,"Concordia University Wisconsin (BA)
Indiana Wesleyan University (MS)",2008,"Center Township, Marion County",1974,0,1,0,0,44
Indiana 8,Larry Bucshon,Heart Surgeon,"University of Illinois at Urbana–Champaign (BS)
University of Illinois at Chicago (MD)",2011,Newburgh,1962,0,0,0,0,56
Indiana 9,Trey Hollingsworth,CEO of Hollingsworth Capital Partners,"University of Pennsylvania (BS)
Georgetown University (MPP)",2017,Jeffersonville,1983,0,0,0,0,35
Iowa 1,Rod Blum,Businessman,"Loras College (BA)
University of Dubuque (MBA)",2015,Dubuque,1955,0,0,0,0,63
Iowa 2,Dave Loebsack,Professor,"Iowa State University (BA, MA)
University of California, Davis (PhD)",2007,Iowa City,1952,0,0,0,0,66
Iowa 3,David Young,Congressional aide,Drake University (BA),2015,Van Meter,1968,0,0,0,0,50
Iowa 4,Steve King,Iowa Senate,Northwest Missouri State University,2003,Kiron,1949,0,0,0,0,69
Kansas 1,Roger Marshall,Obstetrician,"Kansas State University (BS)
University of Kansas (MD)",2017,Great Bend,1960,0,0,0,0,58
Kansas 2,Lynn Jenkins,"Kansas State Treasurer
Kansas Senate
Kansas House of Representatives","Kansas State University
Weber State University (BS)",2009,Topeka,1963,1,0,0,0,55
Kansas 3,Kevin Yoder,Kansas House of Representatives,"University of Kansas (BA, JD)",2011,Overland Park,1976,0,0,0,0,42
Kansas 4,Ron Estes,Kansas State Treasurer,"Tennessee Technological University (BS, MBA)",2017,Wichita,1956,0,0,0,0,62
Kentucky 1,James Comer,"Kentucky House of Representatives
Agriculture Commissioner of Kentucky",Western Kentucky University (BS),2016,Tompkinsville,1972,0,0,0,0,46
Kentucky 2,Brett Guthrie,Kentucky Senate,"United States Military Academy (BS)
Yale University (MBA)",2009,Bowling Green,1964,0,0,0,0,54
Kentucky 3,John Yarmuth,"Newspaper Publisher
Vice-President for University Relations University of Louisville","Yale University (BA)
Georgetown University",2007,Louisville,1947,0,0,0,0,71
Kentucky 4,Thomas Massie,"Judge-Executive of Lewis County, Kentucky","Massachusetts Institute of Technology (BS, MS)",2012,Garrison,1971,0,0,0,0,47
Kentucky 5,Hal Rogers,"Commonwealth's Attorney for Pulaski and Rockcastle County, Kentucky","Western Kentucky University (BA)
University of Kentucky (LLB)",1981,Mount Vernon,1937,0,0,0,0,81
Kentucky 6,Andy Barr,Attorney,"University of Virginia (BA)
University of Kentucky (JD)",2013,Lexington,1973,0,0,0,0,45
Louisiana 1,Steve Scalise,"Current Majority Whip
Louisiana State Senate, Louisiana House of Representatives",Louisiana State University (BS),2008,Jefferson,1965,0,0,0,0,53
Louisiana 2,Cedric Richmond,Louisiana House of Representatives,"Morehouse College (BA)
Tulane University (JD)",2011,New Orleans,1973,0,1,0,0,45
Louisiana 3,Clay Higgins,"Reserve Deputy Marshal of Lafayette, Louisiana",Louisiana State University,2017,Port Barre,1961,0,0,0,0,57
Louisiana 4,Mike Johnson,Louisiana House of Representatives,"Louisiana State University (BA, JD)",2017,Benton,1972,0,0,0,0,46
Louisiana 5,Ralph Abraham,Physician,"Louisiana State University (BS, DVM)
LSU New Orleans (MD)",2015,Mangham,1954,0,0,0,0,64
Louisiana 6,Garret Graves,Louisiana Coastal Protection and Restoration Authority,"University of Alabama
Louisiana Tech University
American University",2015,Baton Rouge,1972,0,0,0,0,46
Maine 1,Chellie Pingree,"Majority Leader Maine State Senate
President Common Cause","University of Southern Maine
College of the Atlantic (BS)",2009,North Haven,1955,1,0,0,0,63
Maine 2,Bruce Poliquin,Maine State Treasurer,Harvard University (BA),2015,Waterville,1953,0,0,0,0,65
Maryland 1,Andy Harris,"Maryland State Senate
Anesthesiologist","Johns Hopkins University (BS, MD, MHS)",2011,Cockeysville,1957,0,0,0,0,61
Maryland 2,Dutch Ruppersberger,"Baltimore County Executive
Chief of the Office of Investigative Division for Maryland's Department of Justice
Baltimore County Assistant State's Attorney","Baltimore City College
University of Maryland, College Park (BA)
University of Baltimore (JD)",2003,Baltimore,1946,0,0,0,0,72
Maryland 3,John Sarbanes,"Attorney, Law Clerk","Princeton University (BA)
Harvard University (JD)",2007,Towson,1962,0,0,0,0,56
