year,district,bach_deg_num,median_HH_income,high_school_num
2008,"Congressional District 1 (110th Congress), Alabama",65397,22473,149143
2008,"Congressional District 2 (110th Congress), Alabama",52767,21318,142511
2008,"Congressional District 3 (110th Congress), Alabama",49883,20190,135228
2008,"Congressional District 4 (110th Congress), Alabama",36796,20120,149766
2008,"Congressional District 5 (110th Congress), Alabama",86221,24552,135224
2008,"Congressional District 6 (110th Congress), Alabama",106058,31082,134805
2008,"Congressional District 7 (110th Congress), Alabama",42465,18289,127411
2008,"Congressional District (at Large) (110th Congress), Alaska",74728,30271,112556
2008,"Congressional District 1 (110th Congress), Arizona",57798,21428,140821
2008,"Congressional District 2 (110th Congress), Arizona",92666,27718,186673
2008,"Congressional District 3 (110th Congress), Arizona",98853,30822,113511
2008,"Congressional District 4 (110th Congress), Arizona",33056,21836,115730
2008,"Congressional District 5 (110th Congress), Arizona",125388,32384,77345
2008,"Congressional District 6 (110th Congress), Arizona",106722,29921,157946
2008,"Congressional District 7 (110th Congress), Arizona",48764,20915,140414
2008,"Congressional District 8 (110th Congress), Arizona",103757,26804,115671
2008,"Congressional District 1 (110th Congress), Arkansas",41013,18822,173853
2008,"Congressional District 2 (110th Congress), Arkansas",74950,23395,155007
2008,"Congressional District 3 (110th Congress), Arkansas",70148,21384,167818
2008,"Congressional District 4 (110th Congress), Arkansas",48244,18806,166430
2008,"Congressional District 1 (110th Congress), California",79278,24170,107326
2008,"Congressional District 2 (110th Congress), California",65583,20732,103098
2008,"Congressional District 3 (110th Congress), California",101245,31186,114930
2008,"Congressional District 4 (110th Congress), California",105531,30548,126259
2008,"Congressional District 5 (110th Congress), California",75419,25036,97161
2008,"Congressional District 6 (110th Congress), California",114016,34113,74506
2008,"Congressional District 7 (110th Congress), California",79752,31123,96216
2008,"Congressional District 8 (110th Congress), California",158842,36289,73338
2008,"Congressional District 9 (110th Congress), California",94540,30326,71198
2008,"Congressional District 10 (110th Congress), California",115744,39360,82243
2008,"Congressional District 11 (110th Congress), California",100216,32247,108186
2008,"Congressional District 12 (110th Congress), California",129141,38264,82426
2008,"Congressional District 13 (110th Congress), California",96546,34487,106145
2008,"Congressional District 14 (110th Congress), California",130204,42791,54413
2008,"Congressional District 15 (110th Congress), California",118752,40276,74678
2008,"Congressional District 16 (110th Congress), California",80678,30897,84910
2008,"Congressional District 17 (110th Congress), California",65503,24877,76651
2008,"Congressional District 18 (110th Congress), California",29534,19335,106083
2008,"Congressional District 19 (110th Congress), California",60884,23620,123376
2008,"Congressional District 20 (110th Congress), California",20416,16646,91991
2008,"Congressional District 21 (110th Congress), California",55651,21567,103341
2008,"Congressional District 22 (110th Congress), California",68230,24893,121536
2008,"Congressional District 23 (110th Congress), California",71079,24069,71203
2008,"Congressional District 24 (110th Congress), California",95268,35479,85014
2008,"Congressional District 25 (110th Congress), California",74326,28745,125048
2008,"Congressional District 26 (110th Congress), California",89841,33522,91186
2008,"Congressional District 27 (110th Congress), California",84458,26830,102463
2008,"Congressional District 28 (110th Congress), California",75170,24140,74236
2008,"Congressional District 29 (110th Congress), California",107687,26664,85823
2008,"Congressional District 30 (110th Congress), California",154196,41820,63225
2008,"Congressional District 31 (110th Congress), California",54022,16811,84468
2008,"Congressional District 32 (110th Congress), California",45935,21491,91967
2008,"Congressional District 33 (110th Congress), California",92380,22942,77050
2008,"Congressional District 34 (110th Congress), California",31529,18170,87762
2008,"Congressional District 35 (110th Congress), California",40783,21175,90920
2008,"Congressional District 36 (110th Congress), California",123425,34826,82060
2008,"Congressional District 37 (110th Congress), California",51539,21211,83086
2008,"Congressional District 38 (110th Congress), California",40005,22979,102664
2008,"Congressional District 39 (110th Congress), California",45974,23721,94415
2008,"Congressional District 40 (110th Congress), California",93930,30383,88784
2008,"Congressional District 41 (110th Congress), California",59994,24684,132432
2008,"Congressional District 42 (110th Congress), California",116326,37183,82414
2008,"Congressional District 43 (110th Congress), California",36460,21597,111434
2008,"Congressional District 44 (110th Congress), California",83698,28380,116848
2008,"Congressional District 45 (110th Congress), California",78262,24873,137842
2008,"Congressional District 46 (110th Congress), California",116177,36908,75572
2008,"Congressional District 47 (110th Congress), California",35506,20836,83735
2008,"Congressional District 48 (110th Congress), California",149273,41164,61299
2008,"Congressional District 49 (110th Congress), California",71787,26443,113921
2008,"Congressional District 50 (110th Congress), California",136127,35943,74998
2008,"Congressional District 51 (110th Congress), California",56650,22769,88607
2008,"Congressional District 52 (110th Congress), California",83480,31914,93513
2008,"Congressional District 53 (110th Congress), California",91124,27224,69309
2008,"Congressional District 1 (110th Congress), Colorado",101384,27354,95734
2008,"Congressional District 2 (110th Congress), Colorado",125932,33350,96122
2008,"Congressional District 3 (110th Congress), Colorado",77275,24314,133229
2008,"Congressional District 4 (110th Congress), Colorado",98512,25672,106049
2008,"Congressional District 5 (110th Congress), Colorado",93343,27700,108397
2008,"Congressional District 6 (110th Congress), Colorado",167672,40470,93040
