year,district,bach_deg_num,median_HH_income,high_school_num
2009,"Congressional District 1 (111th Congress), Alabama",60390,21748,146029
2009,"Congressional District 2 (111th Congress), Alabama",54383,19698,139803
2009,"Congressional District 3 (111th Congress), Alabama",53837,19056,132645
2009,"Congressional District 4 (111th Congress), Alabama",38658,19200,149646
2009,"Congressional District 5 (111th Congress), Alabama",83880,23369,133090
2009,"Congressional District 6 (111th Congress), Alabama",112758,29180,136351
2009,"Congressional District 7 (111th Congress), Alabama",43496,18034,129348
2009,"Congressional District (at Large) (111th Congress), Alaska",75816,28739,119495
2009,"Congressional District 1 (111th Congress), Arizona",52936,19942,136907
2009,"Congressional District 2 (111th Congress), Arizona",93326,27264,187645
2009,"Congressional District 3 (111th Congress), Arizona",107413,29267,108693
2009,"Congressional District 4 (111th Congress), Arizona",32076,21095,115434
2009,"Congressional District 5 (111th Congress), Arizona",130419,29916,89375
2009,"Congressional District 6 (111th Congress), Arizona",114079,28036,154328
2009,"Congressional District 7 (111th Congress), Arizona",55247,20127,146810
2009,"Congressional District 8 (111th Congress), Arizona",106500,25380,118137
2009,"Congressional District 1 (111th Congress), Arkansas",42823,18714,170903
2009,"Congressional District 2 (111th Congress), Arkansas",76667,23194,150776
2009,"Congressional District 3 (111th Congress), Arkansas",76916,21248,177668
2009,"Congressional District 4 (111th Congress), Arkansas",45983,18334,163324
2009,"Congressional District 1 (111th Congress), California",79119,24132,95123
2009,"Congressional District 2 (111th Congress), California",62983,21061,106903
2009,"Congressional District 3 (111th Congress), California",101517,30535,109121
2009,"Congressional District 4 (111th Congress), California",104882,29294,120472
2009,"Congressional District 5 (111th Congress), California",77212,23039,99695
2009,"Congressional District 6 (111th Congress), California",114484,32543,75823
2009,"Congressional District 7 (111th Congress), California",80820,28534,109745
2009,"Congressional District 8 (111th Congress), California",168026,33650,77079
2009,"Congressional District 9 (111th Congress), California",104217,28734,74802
2009,"Congressional District 10 (111th Congress), California",113856,35032,89177
2009,"Congressional District 11 (111th Congress), California",101631,32169,104492
2009,"Congressional District 12 (111th Congress), California",133840,38156,80603
2009,"Congressional District 13 (111th Congress), California",107514,34626,104958
2009,"Congressional District 14 (111th Congress), California",122455,39379,52831
2009,"Congressional District 15 (111th Congress), California",124108,37548,76663
2009,"Congressional District 16 (111th Congress), California",88191,29215,92028
2009,"Congressional District 17 (111th Congress), California",64393,23263,76158
2009,"Congressional District 18 (111th Congress), California",30851,18227,102209
2009,"Congressional District 19 (111th Congress), California",70006,24015,114071
2009,"Congressional District 20 (111th Congress), California",20430,15825,101119
2009,"Congressional District 21 (111th Congress), California",51632,20091,101108
2009,"Congressional District 22 (111th Congress), California",63482,24831,126643
2009,"Congressional District 23 (111th Congress), California",62772,22496,80560
2009,"Congressional District 24 (111th Congress), California",95750,30736,80411
2009,"Congressional District 25 (111th Congress), California",68649,24951,125257
2009,"Congressional District 26 (111th Congress), California",102570,31443,90084
2009,"Congressional District 27 (111th Congress), California",98376,26151,100952
2009,"Congressional District 28 (111th Congress), California",79429,21776,85649
2009,"Congressional District 29 (111th Congress), California",113614,25731,86535
2009,"Congressional District 30 (111th Congress), California",165929,41160,56950
2009,"Congressional District 31 (111th Congress), California",59372,16654,76755
2009,"Congressional District 32 (111th Congress), California",52274,20667,101333
2009,"Congressional District 33 (111th Congress), California",92568,23092,84585
2009,"Congressional District 34 (111th Congress), California",30039,17880,93152
2009,"Congressional District 35 (111th Congress), California",49485,21030,89084
2009,"Congressional District 36 (111th Congress), California",137190,34084,84444
2009,"Congressional District 37 (111th Congress), California",49488,21319,87929
2009,"Congressional District 38 (111th Congress), California",38511,21097,104997
2009,"Congressional District 39 (111th Congress), California",46839,22229,100472
2009,"Congressional District 40 (111th Congress), California",91754,28155,94907
2009,"Congressional District 41 (111th Congress), California",61936,23350,126423
2009,"Congressional District 42 (111th Congress), California",108137,36022,78221
2009,"Congressional District 43 (111th Congress), California",31434,19725,109567
2009,"Congressional District 44 (111th Congress), California",74859,27187,110347
2009,"Congressional District 45 (111th Congress), California",75110,23196,145155
2009,"Congressional District 46 (111th Congress), California",115197,33313,79763
2009,"Congressional District 47 (111th Congress), California",33942,19919,90335
2009,"Congressional District 48 (111th Congress), California",162235,40694,70015
2009,"Congressional District 49 (111th Congress), California",76789,25461,108570
2009,"Congressional District 50 (111th Congress), California",141630,34297,79335
2009,"Congressional District 51 (111th Congress), California",56346,22232,101970
2009,"Congressional District 52 (111th Congress), California",90506,30596,97301
2009,"Congressional District 53 (111th Congress), California",105590,28280,67695
2009,"Congressional District 1 (111th Congress), Colorado",112094,27048,93295
2009,"Congressional District 2 (111th Congress), Colorado",120135,30717,95429
2009,"Congressional District 3 (111th Congress), Colorado",83264,23612,133301
2009,"Congressional District 4 (111th Congress), Colorado",90568,23580,112057
2009,"Congressional District 5 (111th Congress), Colorado",97973,27437,106503
2009,"Congressional District 6 (111th Congress), Colorado",175724,39186,84736
2009,"Congressional District 7 (111th Congress), Colorado",82280,27022,118486
2009,"Congressional District 1 (111th Congress), Connecticut",85584,30223,139349
2009,"Congressional District 2 (111th Congress), Connecticut",90238,31008,144166
2009,"Congressional District 3 (111th Congress), Connecticut",86020,31221,149657
2009,"Congressional District 4 (111th Congress), Connecticut",118410,35062,101941
2009,"Congressional District 5 (111th Congress), Connecticut",94927,30250,132662
2009,"Congressional District (at Large) (111th Congress), Delaware",103335,27821,185594
2009,"Delegate District (at Large) (111th Congress), District of Columbia",84646,34593,82834
2009,"Congressional District 1 (111th Congress), Florida",65154,22466,137776
2009,"Congressional District 2 (111th Congress), Florida",68694,21656,142313
2009,"Congressional District 3 (111th Congress), Florida",42045,17629,141199
2009,"Congressional District 4 (111th Congress), Florida",92507,27721,138332
2009,"Congressional District 5 (111th Congress), Florida",83910,21312,247736
2009,"Congressional District 6 (111th Congress), Florida",78940,23347,163769
2009,"Congressional District 7 (111th Congress), Florida",102026,23895,158321
2009,"Congressional District 8 (111th Congress), Florida",103940,24122,158815
2009,"Congressional District 9 (111th Congress), Florida",94828,25753,158310
2009,"Congressional District 10 (111th Congress), Florida",77530,25024,150771
2009,"Congressional District 11 (111th Congress), Florida",69005,21367,140180
2009,"Congressional District 12 (111th Congress), Florida",69745,22373,180798
2009,"Congressional District 13 (111th Congress), Florida",91457,24016,176426
2009,"Congressional District 14 (111th Congress), Florida",106150,25238,192503
2009,"Congressional District 15 (111th Congress), Florida",85824,23210,170986
2009,"Congressional District 16 (111th Congress), Florida",78895,22856,169900
2009,"Congressional District 17 (111th Congress), Florida",44208,18667,138198
2009,"Congressional District 18 (111th Congress), Florida",90732,19409,132446
2009,"Congressional District 19 (111th Congress), Florida",100521,24927,153449
2009,"Congressional District 20 (111th Congress), Florida",99379,29127,124983
2009,"Congressional District 21 (111th Congress), Florida",80292,20363,123627
2009,"Congressional District 22 (111th Congress), Florida",124456,29273,129138
2009,"Congressional District 23 (111th Congress), Florida",50364,19110,140429
2009,"Congressional District 24 (111th Congress), Florida",97278,26209,148394
2009,"Congressional District 25 (111th Congress), Florida",83968,22666,144595
2009,"Congressional District 1 (111th Congress), Georgia",53155,21444,146601
2009,"Congressional District 2 (111th Congress), Georgia",34698,17803,134457
2009,"Congressional District 3 (111th Congress), Georgia",81824,27209,160400
2009,"Congressional District 4 (111th Congress), Georgia",83557,24014,114984
2009,"Congressional District 5 (111th Congress), Georgia",137626,26605,107701
2009,"Congressional District 6 (111th Congress), Georgia",166304,37510,78396
2009,"Congressional District 7 (111th Congress), Georgia",126541,28343,142572
2009,"Congressional District 8 (111th Congress), Georgia",52628,21918,157036
2009,"Congressional District 9 (111th Congress), Georgia",73340,23470,160814
